Type,Name,URL,Date,Claim,Verdict
Claim,Videonun denize çıplak girmeye çalıştığı için dövülen Suriyeliyi gösterdiği iddiası,https://teyit.org/videonun-denize-ciplak-girmeye-calistigi-icin-dovulen-suriyeliyi-gosterdigi-iddiasi/,2019-06-17,"İDDİA: Video, denize çıplak girmeye çalıştığı için dövülen bir Suriyeliyi gösteriyor.",YANLIŞ
Claim,Ekrem İmamoğlu’nun Beylikdüzü’ne Makarios’un heykelini diktiği iddiası,https://teyit.org/ekrem-imamoglunun-beylikduzune-makariosun-heykelini-diktigi-iddiasi/,2019-05-30,İDDİA: Ekrem İmamoğlu Başpiskopos Makarios’un heykelini dikti.,KARMA
Claim,Atatürk Havalimanı’nda aprona saçılan paraların Cumhurbaşkanlığı uçağından olduğu iddiası,https://teyit.org/ataturk-havalimaninda-aprona-sacilan-paralarin-cumhurbaskanligi-ucagindan-oldugu-iddiasi/,2019-05-30,İDDİA / Fotoğraf: İstanbul Havalimanı’nın açılmasından sonra sadece Cumhurbaşkanlığı uçaklarının kullandığı Atatürk Havalimanı’nda aprona paralar saçıldı.,YANLIŞ
Claim,Suriyelilere bayram parası verildiği iddiası,https://teyit.org/suriyelilere-bayram-parasi-verildigi-iddiasi/,2019-06-03,İDDİA: Suriyelilere bayram parası verildi.,YANLIŞ
Claim,Nihat Hatipoğlu’nun programında ameliyatla ilgili soru soran tıp fakültesi öğrencisi iddiası,https://teyit.org/nihat-hatipoglunun-programinda-ameliyatla-ilgili-soru-soran-tip-fakultesi-ogrencisi-iddiasi/,2019-06-01,"İDDİA: Fotoğraf, Nihat Hatipoğlu'na bir programda ameliyatla ilgili soru soran tıp fakültesi öğrencisini gösteriyor.",YANLIŞ
Claim,Erdoğan’ın 7. torununun ABD’de doğduğu iddiası,https://teyit.org/erdoganin-7-torununun-abdde-dogdugu-iddiasi/,2019-06-11,İDDİA: Tayyip Erdoğan’ın 7. torunu ABD’de doğdu ve ABD vatandaşı oldu.,YANLIŞ
Claim,Cinsel istismara uğrayan 17 yaşındaki genç kızın ötanazi ile yaşamına son verdiği iddiası,https://teyit.org/cinsel-istismara-ugrayan-17-yasindaki-genc-kizin-otanazi-ile-yasamina-son-verdigi-iddiasi/,2019-06-06,İDDİA: Hollanda’da cinsel istismara uğrayan 17 yaşındaki Noa Pothoven ötanazi programına başvurarak yaşamına son verdi.,YANLIŞ
Claim,Fotoğrafın Ekrem İmamoğlu’nu ‘farklı şekilde’ dua ederken gösterdiği iddiası,https://teyit.org/fotografin-ekrem-imamoglunu-farkli-sekilde-dua-ederken-gosterdigi-iddiasi/,2019-06-05,İDDİA: Ekrem İmamoğlu’nun 'farklı şekilde' dua ederken çekilen fotoğrafı.,YANLIŞ
Claim,Sürmene Çamburnu’nda yanan araziye villalar yapıldığı iddiası,https://teyit.org/surmene-camburnunda-yanan-araziye-villalar-yapildigi-iddiasi/,2019-06-14,İDDİA: Sürmene Çamburnu’nda 7 Ocak 2017 tarihinde çıkan yangın sonucu tahrip olan araziye villalar yapıldı.,YANLIŞ
Claim,A Milli Futbol Takımı’nın İzlanda’da Konya Havalimanı’nın onaylanmamış olması sebebiyle bekletildiği iddiası,https://teyit.org/a-milli-futbol-takiminin-izlandada-konya-havalimaninin-onaylanmamis-olmasi-sebebiyle-bekletildigi-iddiasi/,2019-06-12,İDDİA: Türkiye A Milli Futbol Takımı'nın İzlanda’da havalimanında bekletilmesinin sebebi uçuşun kalkış noktası olan Konya Havalimanı’nın onaylanmamış olması.,YANLIŞ
